brand,total,severe,serious,industry,first_year,last_year,severe_rate,peak_year,peak_count,peak_ratio,onset_year,onset_ratio,is_spike,watch_score
SAW PALMETTO,33,17,31,Vit/Min/Prot/Unconv Diet(Human/Animal),2004,2016,51.5,2016,8,2.7,,0.0,False,52.5
CLAMS,24,8,8,Fishery/Seafood Prod,2004,2016,33.3,2004,9,4.5,,0.0,False,52.4
WEN SWEET ALMOND MINT CLEANSING CONDITIONER,55,4,24,Cosmetics,2007,2017,7.3,2016,48,16.0,2016.0,16.0,True,52.4
NATURAL ACCELERATOR ARIZONA NUTRITIONAL SUPPLEMENTS,31,28,30,Vit/Min/Prot/Unconv Diet(Human/Animal),2011,2015,90.3,2012,10,1.8,,0.0,False,52.3
QUORN CUTLETS,23,1,1,Vegetables/Vegetable Products,2017,2017,4.3,2017,23,23.0,,0.0,True,52.2
"ONE A DAY MEN'S HEALTH FORMULA (MULTIVITAMINS,  MINERALS, LYCOPENE) FILM-COATED TABLET",25,1,25,Vit/Min/Prot/Unconv Diet(Human/Animal),2012,2013,4.0,2013,24,24.0,,0.0,True,51.9
HERBALIFE AMINOGEN,21,19,20,Vit/Min/Prot/Unconv Diet(Human/Animal),2007,2014,90.5,2010,5,1.7,,0.0,False,51.8
B12,35,13,29,Vit/Min/Prot/Unconv Diet(Human/Animal),2006,2016,37.1,2016,13,3.7,,0.0,False,51.7
HERBALIFE CELL ACTIVATOR,82,71,78,Vit/Min/Prot/Unconv Diet(Human/Animal),2007,2015,86.6,2009,15,1.9,,0.0,False,51.5
QUORN GROUNDS,21,1,2,Vegetables/Vegetable Products,2015,2017,4.8,2017,20,20.0,,0.0,True,51.5
WEN SHAMPOO AND CONDITIONER,27,1,16,Cosmetics,2011,2017,3.7,2016,25,25.0,,0.0,True,51.4
WEN SWEET ALMOND MINT CLEANSING,29,3,14,Cosmetics,2015,2017,10.3,2016,24,9.6,,0.0,True,51.4
POTASSIUM,149,56,142,Vit/Min/Prot/Unconv Diet(Human/Animal),2004,2017,37.6,2016,36,3.6,,0.0,False,51.4
LACTAID FAST ACT CAPLETS,25,11,23,Vit/Min/Prot/Unconv Diet(Human/Animal),2009,2017,44.0,2012,6,3.0,,0.0,False,51.3
VITAMIN B6,39,19,31,Vit/Min/Prot/Unconv Diet(Human/Animal),2005,2016,48.7,2016,9,2.6,,0.0,False,51.2
CINNAMON,30,11,27,Vit/Min/Prot/Unconv Diet(Human/Animal),2008,2017,36.7,2016,11,3.7,,0.0,False,51.2
WEN PRODUCTS,21,1,14,Cosmetics,2015,2017,4.8,2016,19,19.0,,0.0,True,51.1
PROBIOTIC,77,23,62,Vit/Min/Prot/Unconv Diet(Human/Animal),2005,2017,29.9,2016,33,4.7,,0.0,True,51.0
GREEN TEA,21,8,17,Coffee/Tea,2008,2016,38.1,2015,7,3.5,,0.0,False,51.0
CALCIUM SUPPLEMENT,29,10,20,Vit/Min/Prot/Unconv Diet(Human/Animal),2004,2017,34.5,2004,6,4.0,,0.0,False,50.6
"PETER PAN PEANUT BUTTER, CREAMY",28,2,2,Nuts/Edible Seed,2007,2010,7.1,2007,26,13.0,,0.0,True,50.2
SELENIUM,41,27,40,Vit/Min/Prot/Unconv Diet(Human/Animal),2005,2016,65.9,2014,8,2.0,,0.0,False,50.2
GENERAL MILLS HONEY NUT CHEERIOS,24,5,10,Cereal Prep/Breakfast Food,2007,2017,20.8,2015,10,5.0,,0.0,True,49.8
SHRIMP,25,10,11,Fishery/Seafood Prod,2004,2017,40.0,2007,6,3.0,,0.0,False,49.7
MIXED FRUIT PLATTER,35,0,35,Fruit/Fruit Prod,2015,2015,0.0,2015,35,35.0,,0.0,True,49.7
GINKGO BILOBA,28,17,23,Vit/Min/Prot/Unconv Diet(Human/Animal),2004,2017,60.7,2008,4,2.0,,0.0,False,49.3
HERBALIFE SNACK DEFENSE,23,20,23,Vit/Min/Prot/Unconv Diet(Human/Animal),2008,2014,87.0,2009,6,1.5,,0.0,False,49.3
HERBALIFE CELL-U-LOSS,53,47,51,Vit/Min/Prot/Unconv Diet(Human/Animal),2008,2015,88.7,2008,10,1.4,,0.0,False,49.2
ONE A DAY ESSENTIAL (MULTIVITAMINS) TABLET,32,5,32,Vit/Min/Prot/Unconv Diet(Human/Animal),2012,2017,15.6,2016,17,5.7,2016.0,4.2,True,49.0
HYDROXYCUT WITH EPHEDRA,26,13,25,Vit/Min/Prot/Unconv Diet(Human/Animal),2010,2012,50.0,2012,14,2.3,,0.0,False,49.0
CRANBERRY,32,14,29,Vit/Min/Prot/Unconv Diet(Human/Animal),2008,2017,43.8,2016,8,2.7,,0.0,False,49.0
B-12,21,10,20,Vit/Min/Prot/Unconv Diet(Human/Animal),2005,2016,47.6,2016,6,2.4,,0.0,False,48.7
CABBAGE,30,0,0,Vegetables/Vegetable Products,2012,2012,0.0,2012,30,30.0,,0.0,True,48.6
CARIDANANDO CURRY POWDER,30,0,0,"Spices, Flavors And Salts",2012,2012,0.0,2012,30,30.0,,0.0,True,48.6
CARROT,29,0,0,Vegetables/Vegetable Products,2012,2012,0.0,2012,29,29.0,,0.0,True,48.3
QUORN CHICK'N NUGGETS,29,0,0,Vegetables/Vegetable Products,2017,2017,0.0,2017,29,29.0,,0.0,True,48.3
HERBALIFE FORMULA 2 MULTIVITAMIN COMPLEX,21,17,20,Vit/Min/Prot/Unconv Diet(Human/Animal),2008,2015,81.0,2014,6,1.5,,0.0,False,48.1
B COMPLEX,55,16,48,Vit/Min/Prot/Unconv Diet(Human/Animal),2004,2017,29.1,2016,13,4.3,,0.0,True,48.0
CENTRUM SILVER WOMEN'S 50+ (MULTIMINERALS MULTIVITAMINS) TABLET,23,1,22,Vit/Min/Prot/Unconv Diet(Human/Animal),2012,2015,4.3,2012,14,14.0,,0.0,True,48.0
UNCLE BEN'S INFUSED RICE MEXICAN FLAVOR,26,0,0,Whole Grain/Milled Grain Prod/Starch,2014,2014,0.0,2014,26,26.0,,0.0,True,47.3
QUORN PATTY,25,0,0,Vegetables/Vegetable Products,2017,2017,0.0,2017,25,25.0,,0.0,True,46.9
"A THOUSAND VIRGINS, G3 (GREY WASH TATTOO INK)",25,0,0,Cosmetics,2015,2015,0.0,2015,25,25.0,,0.0,True,46.9
HYDROXYCUT MAX LIQUID CAPS,33,12,33,Vit/Min/Prot/Unconv Diet(Human/Animal),2010,2012,36.4,2011,20,3.1,2011.0,4.0,False,46.2
VITAMIN B-12,54,17,50,Vit/Min/Prot/Unconv Diet(Human/Animal),2010,2017,31.5,2016,18,3.6,,0.0,False,46.2
WEN BY CHAZ DEAN,27,3,17,Cosmetics,2014,2017,11.1,2016,20,5.7,2016.0,5.0,True,45.9
CENTRUM SILVER WOMEN'S 50+,32,1,32,Vit/Min/Prot/Unconv Diet(Human/Animal),2012,2014,3.1,2012,30,15.0,,0.0,True,45.8
PRESERVISION AREDS SOFT GELS,23,11,23,Vit/Min/Prot/Unconv Diet(Human/Animal),2008,2017,47.8,2011,5,2.0,,0.0,False,45.8
AMERICAN AIRLINES FLIGHT 2163 CHICKEN DINNER,23,0,0,Mult Food Dinner/Grav/Sauce/Special,2004,2004,0.0,2004,23,23.0,,0.0,True,45.7
QUORN TENDERS,23,0,0,Vegetables/Vegetable Products,2017,2017,0.0,2017,23,23.0,,0.0,True,45.7
QUORN MEATBALLS,29,1,4,Vegetables/Vegetable Products,2013,2017,3.4,2017,27,13.5,,0.0,True,45.5
OMEGAPLEX,59,17,56,Vit/Min/Prot/Unconv Diet(Human/Animal),2011,2017,28.8,2015,19,3.8,,0.0,False,45.4
FLINTSTONES GUMMIES (MULTIVITAMINS),26,1,26,Vit/Min/Prot/Unconv Diet(Human/Animal),2011,2012,3.8,2012,24,12.0,,0.0,True,45.4
WEN CONDITIONING SHAMPOO,20,1,13,Cosmetics,2016,2017,5.0,2016,18,9.0,,0.0,True,45.3
